bitter cold --,an eighteen-wheeler,hits a pothole,
minus five --,the dog pretends,to be asleep,
spring snow --,the cactus,is unmoved,
mourning,a name,for every cloud,
spring snow --,waving to my youngest grandchild,on Skype,
snowbound --,the dog wonders why,I can't make it warm,
dive bar --,a silent toast,to not being recognized,
twilight --,a lizard perched,on an aloe leaf,
spring snow --,clearing off the windshield,with my baseball glove,
spring snow --,an empty carton,of Marlboro Lights,
St. Patrick's Day --,a little hot sauce,on my Shepherd's pie,
dirty snow --,his name tattooed,on her neck,
the stock market plummets --,moonlight,over the ruined castle,
winter rain --,nobody notices,that I haven't shaved,
a week before payday,I write out a check,with red ink,
harbor mist --,whispering,all my secrets,
snow on the way,the dog,makes herself comfortable,
winter jungle --,the roar,of the snow plow,
dead of winter --,stepping over the dog,to tend the fire,
ice dam --,I can't stop,thinking about her,
winter dusk --,the hawk pretends,not to see me,
exhausted from shoveling --,my restless dreams,of baseball,
winter sky --,my grandson's,blue eyes,
their faces seem so familiar...,the grandchildren,I've yet to meet,
dirty snow --,one more beer,than I needed,
winter rain --,another glance at the watch,I'm not wearing,
after the snow,the oak and I,perfectly still,
Lower Bay lights --,a giant cruise ship,exits the harbor,
unseasonably warm --,wild flowers blossom,in my daydreams,
Fat Tuesday --,I sneer,at my Lean Cuisine,
blowing snow --,the dog backs away,from the open door,
Epiphany --,Christmas trees,piled up on the sidewalk,
March Madness --,the cascade,of a freshly poured Guinness,
winter dusk --,dark circles,under my eyes,
Jury Duty --,those on time,are left out in the cold,
moving day --,all the books,I never read,
moonless night --,a child's bicycle,in the snow,
snow mixed with rain --,she tells me I look good,for my age,
plum blossom --,I have to look it up,online,
snowmelt --,I finally win,at solitaire,
writer's block --,a mud puddle,ices over,
winter thunder --,this time,without the snowplow,
snowbound --,even my daydreams,fade to white,
New Year's Day --,the dog resolves,not to move,
blind date --,an irresistible urge,to text,
fresh snow --,my pale winter tan,
black ice --,I startle,from a deep sleep,
sleepless night --,a house fly trapped,between window panes,
winter mud --,I'll sip this barleywine,instead,
after the rain,I remember,her eyes,
approaching storm --,a distant,car alarm,
seaside dining --,the blackbird,snatches a fly,
somewhere,under all these scarves --,my baseball glove,
my granddaughters,in matching dresses --,crocuses in bloom,
spring snow --,I stare at my footprints,and sigh,
old photograph --,my eyes,stare back at me,
dirty snow --,our next-door neighbor's,mail order wife,
stiff and withered --,the habanero plant,and me,
regrets --,a towering pile,of dirty snow,
winter sky,the perfect canvas,for my daydream,
civil unrest --,another grandchild,on the way,
warming trend --,her neckline,deepens,
full moon --,the dog snores,with eyes wide open,
ice dams --,if the cactus,could speak...,
always stalking me,while I sleep --,paper tiger,
between storms --,pitchers and catchers report,in twelve days,
I daydreamed all day,about continuing,last night's dream,
lying in a hammock,in the beachfront villa,of my dreams,
rock, paper, scissors --,who walks the dog,on this frigid night?,
more snow --,nobody notices,my two-day stubble,
blowing snow --,she loves me,she loves me not,
